name,recipie,category,image_name,image_ext,image_url
"Bump, Set, Sip!","5 ea. mint leaves
1 oz. Monin Watermelon Purée
6 oz. limeade

Fill serving glass full of ice.
Pour ingredients into mixing glass with 2/3 ice in order listed.
Cap, shake and strain into serving glass with ice.
Add garnish and serve.",lemonade,1725657621_9328594.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/b/u/bump_set_sip_.png
Cherry Limeade,"3/4 oz. Monin Lime Syrup
6 oz. lemon-lime soda
3/4 oz. Monin Cherry Syrup

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657627_0441675.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/2/3/233f0500-c50f-4ed0-8f00-5643821dcc4e-2.png
Chipotle Citrus Breeze,"1 1/2 oz. vodka
1 oz. Monin Chipotle Pineapple Syrup
splash cranberry juice
4 oz. lemonade
ice

Fill serving glass full of ice.
Pour ingredients into mixing tin in order listed.
Add ice from serving glass.
Cap, shake and pour back into serving glass.
Add garnish and serve.",lemonade,1725657632_0371678.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/f/df198d36-2a77-4cbc-9461-3da80119c323-1.png
Cinnamon Sleigh Ride,"1/2 oz. Monin Cinnamon Bun Syrup
3/4 oz. Monin Irish Cream Syrup
3/4 oz. Monin Cold Brew Coffee Concentrate
2 oz. half & half
splash club soda

Fill serving glass full of ice.
Pour ingredients into mixing glass with 2/3 ice in order listed.
Cap, shake and strain into serving glass with ice.
Add garnish and serve.",lemonade,1725657636_8236754.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/5/c/5cdb20af-a1a5-419d-a53b-66339fadd31d-2.png
Citrus Blossom Sparkler,"1/4 oz. Monin Elderflower Syrup
1 oz. Monin Ruby Red Grapefruit Syrup
3 oz. lemonade
top club soda

Combine ingredients in shaker in the order listed, except sparkling beverage.
Cap and shake vigorously.
Pour into serving glass and add any needed ice.
Top with sparkling beverage and garnish.",lemonade,1725657641_717405.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/8/6/86eb56cf-1d92-450f-962e-093fef69e600-1.png
Coconut Limeade,"ice
1/2 oz. Monin Coconut Purée
1/2 oz. Monin Lime Syrup
7 oz. lemon-lime soda

Fill serving glass with ice.
Add remaining ingredients in the order listed.
Stir well or transfer from serving glass to other glass and back to mix.
Garnish.",lemonade,1725657646_4633675.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/6/3/631a1441-a602-44c9-a978-98e73707eb62-2.png
Cold Brew Lemonade,"3 oz. lemonade
1 oz. Monin Cold Brew Coffee Concentrate
3 oz. cold water

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Pour mixture into mixing tin and back into serving glass to mix.
Add garnish and serve.",lemonade,1725657651_3028939.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/8/c/8c585957-c035-4d96-bffc-7fe2381b5e45-2.png
Cucumber Basil Press,"3 mL Monin Basil Concentrated Flavor
6 mL Monin Cucumber Concentrated Flavor
4 oz. lemonade
3 oz. club soda

Combine ingredients in shaker in the order listed, except sparkling beverage.
Cap and shake vigorously.
Pour into serving glass and add any needed ice.
Top with sparkling beverage and garnish.",lemonade,1725657656_2512994.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/2/5/2502240e-5583-403a-b048-af7b9b2aa249-2.png
Cucumber Limeade Sparkle,"ice
1/2 oz. fresh lime juice
3/4 oz. Monin Cucumber Syrup
lemon-lime soda

Fill serving glass with ice.
Add remaining ingredients.
Cap and shake vigorously, or transfer from serving glass to other glass and back.
Garnish.",lemonade,1725657661_1054215.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/5/3/53f07b77-0896-4db0-8da0-3e1507b85b86-1.png
Cucumber Melon Lemonade,"ice
3/4 oz. Monin Watermelon Syrup
1/4 oz. Monin Cucumber Syrup
7 oz. lemonade

Fill serving glass full of ice.
Pour ingredients into serving glass in order listed.
Stir gently to mix.
Add garnish and serve.",lemonade,1725657666_1762018.png,png,https://www.monin.com/media/catalog/product/cache/6460723196c4af1430f8565a2704856d/d/9/d942b5c5-dec7-43e5-be94-11a2f840be78-1_1.png
